,sim,model_name,nobs,log_marg,γ_map,γ_true,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true,posterior_probability
0,520,BMA,2000,,3.546480747512766,1.5,-160.41782581482292,-113.93869193552537,-45.19284248408062,-171.59349954805944,-127.25263247425696,-54.30793233997974,
0,521,Weibull_Log-Logistic,2000,-1618.8420597366248,4.151021516913806,1.5,-393.61473465965236,-264.2781663115352,-95.76192848213759,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.14430064635607853
1,521,Weibull_Lomax,2000,-1617.196825912559,2.262378799280336,1.5,-307.9718879010534,-219.56634929963357,-94.59119800083347,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.7477979110570518
2,521,Weibull_Inverse-Weibull,2000,-1619.1327404398069,4.738687220914891,1.5,-416.1985400662688,-277.2748047297519,-98.68554674380485,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.10790144258686944
3,521,Inverse-Weibull_Log-Logistic,2000,-1664.7893167413295,0.03907975330459773,1.5,-13211.185893953094,-6928.752178625218,-1636.2230549821722,-171.59349954805944,-127.25263247425696,-54.30793233997974,1.6018730714620332e-21
4,521,Inverse-Weibull_Lomax,2000,-1653.588194719519,0.042967386886886894,1.5,-2105.765895728993,-1270.7670788156329,-400.75500787871124,-171.59349954805944,-127.25263247425696,-54.30793233997974,1.172771992580521e-16
5,521,Inverse-Weibull_Inverse-Weibull,2000,-1691.4564063783698,1.6255278172289664,1.5,-946.7899960333914,-598.361106659163,-192.45052642678078,-171.59349954805944,-127.25263247425696,-54.30793233997974,4.200086385686001e-33
0,521,BMA,2000,,2.8021084151549287,1.5,-332.00801793906805,-232.24511898457558,-95.20192130181479,-171.59349954805944,-127.25263247425696,-54.30793233997974,
0,522,Weibull_Log-Logistic,2000,-1620.835593488357,4.643869172042478,1.5,-222.91914349701946,-154.10230713593327,-58.44106013896997,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.2553427803076315
1,522,Weibull_Lomax,2000,-1620.1318992110987,2.7934976258186324,1.5,-203.29539704558928,-147.89933962614478,-62.58297580112597,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.5161003153813697
2,522,Weibull_Inverse-Weibull,2000,-1620.9464151538248,4.972686276603738,1.5,-238.48717619558016,-164.97693879062186,-62.798861133589625,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.2285569043109989
3,522,Inverse-Weibull_Log-Logistic,2000,-1685.8284896245505,0.11970021037937223,1.5,-4449.474957275915,-2587.7816675669774,-725.051888266063,-171.59349954805944,-127.25263247425696,-54.30793233997974,1.5172859211670467e-29
4,522,Inverse-Weibull_Lomax,2000,-1669.4738300356964,0.09488842939416896,1.5,-640.90119912722,-426.1222627835659,-162.92383193109322,-171.59349954805944,-127.25263247425696,-54.30793233997974,1.9222321685213602e-22
5,522,Inverse-Weibull_Inverse-Weibull,2000,-1697.4712449172475,2.137425298291928,1.5,-433.0233833135722,-288.0532190491625,-93.6127777433424,-171.59349954805944,-127.25263247425696,-54.30793233997974,1.3325485783042585e-34
0,522,BMA,2000,,3.7640452529666666,1.5,-216.34950312426776,-153.38642579434907,-61.574709623425385,-171.59349954805944,-127.25263247425696,-54.30793233997974,
0,523,Weibull_Log-Logistic,2000,-1611.854913494437,2.762855808261711,1.5,-349.4086385919752,-235.23538556581036,-83.34724289651923,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.15545164201001582
1,523,Weibull_Lomax,2000,-1610.2887274174454,2.1169822884852847,1.5,-194.05591518633645,-140.66737159489858,-59.79352253078713,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.744357013346205
2,523,Weibull_Inverse-Weibull,2000,-1612.2941663897132,3.067870087600837,1.5,-392.11409976034923,-260.6961019469441,-92.53205019410876,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.10019134464377921
3,523,Inverse-Weibull_Log-Logistic,2000,-1669.574176028288,0.044135388903030315,1.5,-11637.79881707243,-6199.550905180736,-1531.6068328899391,-171.59349954805944,-127.25263247425696,-54.30793233997974,1.3317971948497266e-26
4,523,Inverse-Weibull_Lomax,2000,-1653.9535734731762,0.048643063905815805,1.5,-1335.3428840882602,-847.4315293179601,-292.98566632415515,-171.59349954805944,-127.25263247425696,-54.30793233997974,8.098033881656383e-20
5,523,Inverse-Weibull_Inverse-Weibull,2000,-1685.458319430297,2.4506958573827933,1.5,-421.32455152009874,-268.7905021645763,-85.23570406280828,-171.59349954805944,-127.25263247425696,-54.30793233997974,1.6828378308165932e-33
