,sim,model_name,nobs,γ_map,log_marg,Wass_dist,q95,q99,q995,posterior_probability
103,12,Burr_Burr_continuous,1000.0,0.5337219434648975,-522.8473991488374,90.63065295616639,3.668944970058874,9.63652624363931,13.99007416580389,0.007446799973578266
104,12,Burr_Pareto-Tail_continuous,1000.0,2.1460649909960745,-525.8569754121636,92.03610482403464,3.890136923700993,11.508328867648743,18.360366738079392,0.0003672208440669667
105,12,Burr_GPD-Tail_continuous,1000.0,0.47947018576867423,-522.1162100880468,60.714875802522776,3.877070042790365,11.172290470540247,17.0306741154036,0.015471095354583329
106,12,Burr_Inverse-Gamma_continuous,1000.0,1.02548694271551,-524.0422345357846,83.7308552408761,3.8141884317610675,11.778588060451511,18.789575761957167,0.002254546895308286
107,12,Burr_Inverse-Weibull_continuous,1000.0,1.338661302833062,-525.0352364235512,92.54522032355108,3.7998240998149413,11.823028245316891,19.117221228270864,0.0008352260532238686
108,12,Burr_Exp_continuous,1000.0,7.584627321232134,-539.1636161323817,124.84317577332519,4.6974626854989765,11.97372583305878,15.298902411586823,6.108389009072597e-10
109,12,Burr_Gamma_continuous,1000.0,0.44743326922150284,-533.4857234560444,204.5273892691835,4.538630804518107,9.182826232745356,11.391554011197513,1.7856821000825742e-07
0,13,Exp_Weibull_continuous,1000.0,0.00010136910673661421,-681.1809668201406,108.24038294508898,4.512573781312312,9.801899381045587,12.623726064475704,1.2595860895500103e-06
1,13,Exp_Lognormal_continuous,1000.0,0.06931881943008479,-724.1862891641218,69.31968219141093,4.526196306642305,12.701415386118242,18.47973933877256,2.650047566723024e-25
2,13,Exp_Log-Logistic_continuous,1000.0,0.061397363047101375,-731.5173795376503,630.2908420951724,5.445000539339162,24.321467861909696,45.74467808993177,1.7354079145184376e-28
3,13,Exp_Lomax_continuous,1000.0,0.06993981099289097,-725.8015165717005,156.2196436169904,4.344790482946337,14.285927107948737,23.218924383172634,5.269498912203228e-26
4,13,Exp_Burr_continuous,1000.0,7.818493231503676e-05,-685.591915704916,97.64005151722986,4.830499023000812,13.386561903416805,19.478736845712774,1.52959725366056e-08
5,13,Exp_Pareto-Tail_continuous,1000.0,0.5845242856348605,-799.3404166053756,2366.9993735533667,6.113814521313543,47.77201141337173,115.79983194565102,6.0845831349098904e-58
