,sim,model_name,nobs,γ_map,log_marg,Wass_dist,posterior_probability
96,76,Log-Logistic_Inverse-Weibull_continuous,250.0,0.934965439282596,-124.13379569974606,24.371554775151466,0.012090533085144989
97,76,Log-Logistic_Exp_continuous,250.0,2.2014059394976493,-131.3379622726723,54.92366811807676,8.989088588679683e-06
98,76,Log-Logistic_Gamma_continuous,250.0,0.6726474327621047,-126.50541001085944,36.38878339244416,0.0011284087400105192
99,76,Burr_Weibull_continuous,250.0,0.683164416050944,-124.4061829373195,24.237756674513978,0.009207657908213127
100,76,Burr_Lognormal_continuous,250.0,0.5803554214564428,-123.89968651225496,21.268979627993374,0.015279803813263354
101,76,Burr_Log-Logistic_continuous,250.0,0.7520918267984865,-123.66807967758575,27.345317347329733,0.0192620873676291
102,76,Burr_Lomax_continuous,250.0,0.6207354904208399,-122.95339520543916,21.479944174686185,0.039362880424596146
103,76,Burr_Burr_continuous,250.0,0.7665861009959899,-124.0109110894434,76.22415369410248,0.01367141787515039
104,76,Burr_Pareto-Tail_continuous,250.0,1.10304453397506,-124.16900840915743,24.104243754227042,0.011672201181339843
105,76,Burr_GPD-Tail_continuous,250.0,0.6100466735958431,-123.50395667729978,16.597654284053863,0.022697658721930712
106,76,Burr_Inverse-Gamma_continuous,250.0,0.7829480530395134,-123.3800139895793,25.123376546152546,0.02569263736193741
107,76,Burr_Inverse-Weibull_continuous,250.0,0.8224195140843763,-123.82997247567913,26.76544083956465,0.016383028980693142
108,76,Burr_Exp_continuous,250.0,2.73428429814853,-131.483595953143,46.25315159645107,7.770836236268503e-06
109,76,Burr_Gamma_continuous,250.0,0.6346894884168959,-126.17484446379684,37.68222301014604,0.001570468515985993
0,77,Exp_Weibull_continuous,250.0,0.003436688765395468,-164.96508027389044,27.181272052384124,6.244881897908573e-05
1,77,Exp_Lognormal_continuous,250.0,0.02014020897848103,-174.95052713137315,127.20168307116197,2.876734355433025e-09
2,77,Exp_Log-Logistic_continuous,250.0,0.004074460564671468,-174.32610075648748,477.8441545997576,5.371365296230476e-09
3,77,Exp_Lomax_continuous,250.0,0.1409509301737785,-178.15662805367447,70.8563030263985,1.1654880392661544e-10
4,77,Exp_Burr_continuous,250.0,0.0028786732614165316,-169.55511283082933,41.964672055131516,6.340133728082104e-07
5,77,Exp_Pareto-Tail_continuous,250.0,0.5005329046247406,-189.23365081757032,352.2140827655345,1.8022621361994096e-15
6,77,Exp_GPD-Tail_continuous,250.0,0.129097472392672,-177.7524679547519,44.65481572229264,1.7459520880188708e-10
7,77,Exp_Inverse-Gamma_continuous,250.0,0.2562366190262414,-180.63361715175574,59.932042592316535,9.789603987682859e-12
8,77,Exp_Inverse-Weibull_continuous,250.0,0.28557771663334774,-181.64949757134104,84.95011295940088,3.544654115125573e-12
9,77,Exp_Exp_continuous,250.0,0.953985677356893,-189.21691225447617,46.71797801771312,1.8326833077490176e-15
10,77,Exp_Gamma_continuous,250.0,0.009592468083556998,-169.62565778987437,50.75023455514419,5.908280856866363e-07
11,77,Gamma_Weibull_continuous,250.0,0.8530617506386385,-158.44533827371765,81.44435557224418,0.042365487050716584
12,77,Gamma_Lognormal_continuous,250.0,1.0746885676043378,-158.4500982401247,18.82267041042923,0.042164307938292796
13,77,Gamma_Log-Logistic_continuous,250.0,1.2342686023394855,-159.19631586680978,29.129086742857737,0.01999248500170352
14,77,Gamma_Lomax_continuous,250.0,0.914296029934733,-158.46554695417234,29.49413382262295,0.0415179293166749
15,77,Gamma_Burr_continuous,250.0,1.0709516401682673,-159.69298644143507,64.57918171332487,0.012166495196737591
16,77,Gamma_Pareto-Tail_continuous,250.0,1.8155828129855929,-160.5846862507167,70.70874449807786,0.004987755799996203
17,77,Gamma_GPD-Tail_continuous,250.0,0.9147746541512168,-158.80636082566082,29.418425298051535,0.02952718883117669
18,77,Gamma_Inverse-Gamma_continuous,250.0,1.3193566290071177,-159.4418255639663,29.328017043944946,0.015640234926353924
19,77,Gamma_Inverse-Weibull_continuous,250.0,1.5567208866627433,-159.78536269618996,26.4271059795455,0.011092948360993572
20,77,Gamma_Exp_continuous,250.0,2.588022661945314,-161.15234528053554,27.501848620191353,0.0028273137029926976
21,77,Gamma_Gamma_continuous,250.0,1.3052930654124821,-160.56043866772032,75.96702333599143,0.0051101750097726365
22,77,Weibull_Weibull_continuous,250.0,0.981990729520108,-158.28207819363374,85.32967317290007,0.04987870340578979
23,77,Weibull_Lognormal_continuous,250.0,1.287940069042598,-158.10669532107462,35.328744285346694,0.05944057052884833
24,77,Weibull_Log-Logistic_continuous,250.0,1.836449840403477,-158.90745995994547,38.24018528605449,0.02668795553023514
25,77,Weibull_Lomax_continuous,250.0,1.4151608094413437,-158.25657909585252,34.01881769836585,0.051166919718469185
26,77,Weibull_Burr_continuous,250.0,1.5492175615083152,-159.13075815876067,66.17800824789607,0.02134706289897756
27,77,Weibull_Pareto-Tail_continuous,250.0,2.6539651580993358,-159.2993051944096,44.601452584888364,0.018035952472836517
28,77,Weibull_GPD-Tail_continuous,250.0,1.1730527154759125,-158.57025326654926,34.28901049738034,0.0373905894317849
29,77,Weibull_Inverse-Gamma_continuous,250.0,1.968628541863959,-158.78268580604734,38.49439189737097,0.030234586389986686
30,77,Weibull_Inverse-Weibull_continuous,250.0,2.029285509443978,-159.27171511975388,30.54516945154716,0.018540493911171668
31,77,Weibull_Exp_continuous,250.0,3.5860971703930913,-160.8372079529916,25.362125064741196,0.003874684990960999
32,77,Weibull_Gamma_continuous,250.0,1.9115841466484649,-160.50889313283096,81.75053721985586,0.005380488595224445
33,77,Lognormal_Weibull_continuous,250.0,0.7328527266455226,-162.07770302871208,22.747257733320513,0.0011207177083758977
