,sim,method,nobs,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true
37,37,true,250,-2262.6851943476454,-1237.600994972392,-303.01536928559096,-151.23528817018322,-112.48527400129585,-47.509839309988706
37,37,best,250,-2173.1636066485075,-1198.8831090190483,-300.49213218052864,-151.23528817018322,-112.48527400129585,-47.509839309988706
37,37,BMA,250,-2621.8760575087463,-1369.871000439316,-315.8685917226493,-151.23528817018322,-112.48527400129585,-47.509839309988706
38,38,true,250,-3323.58318962958,-1778.1220288965692,-423.54772093015487,-151.23528817018322,-112.48527400129585,-47.509839309988706
38,38,best,250,-3784.5257448739753,-1982.4723760473719,-451.1086245054285,-151.23528817018322,-112.48527400129585,-47.509839309988706
38,38,BMA,250,-3144.5859859296565,-1589.0934501010904,-361.51358833613875,-151.23528817018322,-112.48527400129585,-47.509839309988706
39,39,true,250,-2607.4248054409873,-1417.630839588279,-393.55373955566876,-151.23528817018322,-112.48527400129585,-47.509839309988706
39,39,best,250,-2414.4976321829163,-1374.2447522516622,-381.3962096607025,-151.23528817018322,-112.48527400129585,-47.509839309988706
39,39,BMA,250,-2654.2443764499167,-1472.7998877203959,-395.49244001779414,-151.23528817018322,-112.48527400129585,-47.509839309988706
40,40,true,250,-1376.4898461633252,-829.349775317343,-244.9751163390971,-151.23528817018322,-112.48527400129585,-47.509839309988706
40,40,best,250,-116.30874105391703,-93.01808670095723,-49.13875136336419,-151.23528817018322,-112.48527400129585,-47.509839309988706
40,40,BMA,250,-600.8833812013613,-365.76322217454054,-110.24290641755894,-151.23528817018322,-112.48527400129585,-47.509839309988706
41,41,true,250,-2873.0579726852166,-1570.8976878500578,-377.63367250425256,-151.23528817018322,-112.48527400129585,-47.509839309988706
41,41,best,250,-119.4096570125041,-90.19394741461049,-36.329391713230336,-151.23528817018322,-112.48527400129585,-47.509839309988706
41,41,BMA,250,-142.0839605953974,-101.2156943757811,-35.06048486004596,-151.23528817018322,-112.48527400129585,-47.509839309988706
42,42,true,250,-1534.3333390396233,-874.1342610225353,-217.60259173174114,-151.23528817018322,-112.48527400129585,-47.509839309988706
42,42,best,250,-1295.559408416143,-741.4621115961405,-188.51991264865742,-151.23528817018322,-112.48527400129585,-47.509839309988706
42,42,BMA,250,-1585.3229053482032,-889.7049252155505,-216.42849471326753,-151.23528817018322,-112.48527400129585,-47.509839309988706
43,43,true,250,,,,-151.23528817018322,-112.48527400129585,-47.509839309988706
43,43,best,250,-51.94142383529456,-44.690325533517914,-25.83240403574042,-151.23528817018322,-112.48527400129585,-47.509839309988706
43,43,BMA,250,-68.0830378729388,-54.93726442286246,-30.740699133884203,-151.23528817018322,-112.48527400129585,-47.509839309988706
44,44,true,250,-1823.0886495997659,-1018.4808295273788,-292.8909466499263,-151.23528817018322,-112.48527400129585,-47.509839309988706
